商品名,エネルギー[kcal],食塩相当量[g],たんぱく質[g],脂質[g],炭水化物[g],食物繊維[g],糖質[g],区分
からすみパスタ,498,2.8,14.5,19.4,66.6,4.2,62.4,ランチ
グリルドチーズサンド,346,1.4,8.6,17.4,38.6,0.7,37.9,ランチ
デミチーズハンバーグ,784,5.5,34,30.3,90.9,4.6,86.3,ランチ
和風ハンバーグ,815,5,31.5,34.1,93.1,5.2,87.9,ランチ
おろしハンバーグ,744,5.3,30.4,24.8,97.5,5.8,91.7,ランチ
ガーリックハンバーグ,871,6,36.9,35.4,97.3,4.8,92.5,ランチ
グリルチキン,709,5.7,44.9,21,82.7,4.2,78.5,ランチ
豚しゃぶ,783,3.5,21,39.7,79.1,4.5,74.6,ランチ
油淋鶏,757,5,30.6,27.1,95.1,2.4,92.7,ランチ
カットステーキ,607,5.6,30.2,14.2,86.7,3.5,83.2,ランチ
ベジタブルカレー,189,2.7,2.9,10,22.1,3.1,19,ランチ
アジフライ＆ヒレカツ,378,0.7,13.6,27,20.8,1.6,19.2,ランチ
海老タルタル,197,1.5,4.5,13.6,14.3,0.7,13.6,ランチ
さばの味噌煮とヒレカツ定食,1001,4.7,34.7,45,107.6,3.9,103.7,定食
おろしハンバーグとヒレカツ定食,930,5,39.7,38.7,102.8,5.4,97.4,定食
チキン南蛮定食,836,6.4,32,31.1,104.8,3.3,101.5,定食
生姜焼き定食,935,6.1,29.7,46.2,93.8,4.2,89.6,定食
ミックスフライ定食,821,3.3,24.7,34.5,100.5,4.2,96.3,定食
生ハムサラダ,105,1.3,3.6,8.6,3.2,0.7,2.5,サラダ
シーザーサラダ,149,0.9,4.8,11.5,6.2,0.8,5.4,サラダ
生ハムシーザーサラダ,111,1,3.6,9,3.7,0.7,3,サラダ
COBBサラダ,180,0.8,5.4,11.4,5.1,1.5,3.6,サラダ
具だくさんシーザーサラダ,258,1.2,8.8,16.2,9.8,1.1,8.7,サラダ
具だくさん生ハムシーザーサラダ,147,1.5,6.5,11.2,4.7,1,3.7,サラダ
ハーブ鶏のローストチキンのパワーサラダ,257,1,16.5,12.8,20.9,4.4,16.5,サラダ
ロートビーフのパワーサラダ,180,0.8,10.4,7.1,20.7,4.4,16.3,サラダ
PREMIUMパワーサラダ,258,1.8,16.8,12.6,21.4,4.4,17,サラダ
4種のシーザードレッシング,130,1,0.7,12.8,2.3,0,2.3,サラダ
胡麻ドレッシング,113,0.9,0.5,10.6,3.6,0.3,3.3,サラダ
人参ドレッシング,62,0.7,0.1,5.8,2,0.4,1.6,サラダ
コブサラダドレッシング,107,1,0.3,10.1,3.3,0.1,3.2,サラダ
ベーコンチーズハンバーグ,563,4,29.2,39.5,22.1,2.8,19.3,合い挽きハンバーグ
和風ハンバーグ,488,3.1,25.2,32.8,23.6,3.8,19.8,合い挽きハンバーグ
おろしハンバーグとヒレカツ膳,930,5,39.7,38.7,102.8,5.4,97.4,合い挽きハンバーグ
胡麻ドレサラダ,140,0.6,6.2,10.1,6.1,0.8,5.3,合い挽きハンバーグ
茄子とほうれん草のおろし和え,64,1.1,1.6,4.4,5.6,2.7,2.9,合い挽きハンバーグ
デミ煮込みハンバーグ,475,3.5,26,28.6,29.2,3.9,25.3,合い挽きハンバーグ
デミ煮込みハンバーグ?たまご添え?,584,3.8,32.1,37.9,28.4,3.7,24.7,合い挽きハンバーグ
生姜醤油ハンバーグ,381,2.9,23.2,22,23.4,3.1,20.3,合い挽きハンバーグ
allbeef ハンバーグ?おろしソース,444,2.9,22.7,30.1,21,3.9,17.1,allbeef ハンバーグ
allbeef ハンバーグ?デミたま,587,3.4,30,41.9,21.6,3,18.6,allbeef ハンバーグ
サーロインステーキ(160g),444,1.8,33.8,29,8.2,1.9,6.3,牛肉
サーロインステーキ(240g),629,2.8,49.9,41.3,8.6,1.9,6.7,牛肉
カットステーキ(130g),255,2.3,23.7,12.8,11.3,1.9,9.4,牛肉
