商品名,重量,エネルギー[kcal],たんぱく質[g],脂質[g],炭水化物[g],ナトリウム[mg],カリウム[mg],カルシウム[mg],リン[mg],鉄[mg],ビタミンA[μg],ビタミンB1[mg],ビタミンB2[mg],ナイアシン[mg],ビタミンC[mg],ビタミンD[μg],ビタミンE[mg],コレステロール[mg],食物繊維[g],食塩相当量[g]
モスバーガー,208.8,366,15.6,15.6,40.9,888,330,32,156,1.2,30,0.1,0.1,2.5,10,0.2,1.6,29,2.6,2.2
テリヤキバーガー,167.8,377,14.7,16.8,41.7,1023,255,29,144,1.1,19,0.09,0.11,2.3,3,0.2,1.6,32,1.8,2.5
テリヤキチキンバーガー,149,307,20.1,10.5,32.8,845,286,19,164,0.7,31,0.09,0.16,4.2,3,0.1,0.9,72,1.4,2.2
モスチーズバーガー,223.8,419,18.6,20,41.3,1077,340,116,297,1.2,74,0.11,0.15,3.2,10,0.2,1.8,41,2.6,2.7
モス野菜バーガー,189.8,351,14.4,16.3,36.9,683,355,32,154,1.3,36,0.11,0.12,2.6,9,0.2,2,31,2.4,1.7
海老カツバーガー　,158.5,390,11.7,18.2,45.3,769,116,56,223,0.6,7,0.06,0.07,0.9,6,0.5,11,83,2.1,2
ロースカツバーガー,174.5,412,17.9,16.4,48.7,866,301,34,187,0.9,9,0.59,0.1,4.2,12,0,9.8,24,2.6,2.2
フィッシュバーガー,144,390,16.7,18.9,38.6,814,235,103,275,0.5,49,0.07,0.1,2.2,0,0,7.3,36,1.7,2.1
チキンバーガー,152,382,15.4,17.4,41,649,269,24,106,0.7,5,0.13,0.09,3.6,6,0,10.7,27,2.1,1.6
ハンバーガー,126.3,308,14,11.9,36.2,669,259,26,140,1.1,14,0.08,0.1,2.4,2,0.2,1.2,24,1.8,1.7
チーズバーガー,141.3,361,17,16.3,36.6,858,269,110,281,1.1,58,0.09,0.15,3.1,2,0.2,1.4,36,1.8,2.2
ダブルモスバーガー,271.6,516,24.4,25.4,47.2,1292,482,43,249,1.9,40,0.14,0.16,4,11,0.4,2,54,3.1,3.2
ダブルモスチーズバーガー,286.6,569,27.4,29.8,47.6,1481,492,127,390,1.9,84,0.15,0.21,4.7,11,0.4,2.2,66,3.1,3.7
ダブルテリヤキバーガー,232.6,539,23.6,26.2,52,1551,404,40,236,1.8,29,0.13,0.17,3.8,4,0.4,2,56,2.3,3.8
ダブルモス野菜バーガー,242.6,489,22.8,25.7,41.8,1006,502,42,246,2.1,45,0.14,0.18,4.1,9,0.3,2.4,56,2.8,2.6
ダブルハンバーガー,179.1,446,22.4,21.3,41.1,992,406,36,232,1.9,23,0.11,0.16,3.9,2,0.3,1.6,49,2.2,2.6
ダブルチーズバーガー,194.1,499,25.4,25.7,41.5,1181,416,120,373,1.9,67,0.12,0.21,4.6,2,0.3,1.8,61,2.2,3.1
スパイシーモスバーガー,216.8,367,15.6,15.6,41.1,956,361,33,159,1.3,56,0.11,0.11,2.7,15,0.2,2,29,2.7,2.4
スパイシーモスチーズバーガー,231.8,420,18.6,20,41.5,1145,371,117,300,1.3,100,0.12,0.16,3.4,15,0.2,2.2,41,2.7,2.9
スパイシーダブルモスバーガー,279.6,517,24.4,25.4,47.4,1359,513,43,252,2.1,65,0.14,0.17,4.2,15,0.3,2.4,55,3.2,3.5
スパイシーダブルモスチーズバーガー,294.6,570,27.4,29.8,47.8,1548,523,127,393,2.1,109,0.15,0.22,4.9,15,0.3,2.6,67,3.2,4
モスの菜摘モス野菜,187.8,207,9.4,14,11.5,483,411,31,125,1.1,46,0.11,0.1,2,12,0.2,1.6,31,1.9,1.2
モスの菜摘テリヤキチキン,140,186,15.1,10.7,7.7,749,313,17,134,0.6,40,0.08,0.16,3.6,5,0.1,0.9,76,0.7,1.9
モスの菜摘フィッシュ,130.5,244,11.6,16.4,12.7,589,269,100,243,0.3,57,0.06,0.08,1.6,2,0,6.9,36,1,1.5
モスの菜摘海老カツ　　　,145,244,6.6,15.7,19.4,544,150,53,191,0.4,15,0.05,0.05,0.3,8,0.5,10.6,83,1.4,1.4
モスの菜摘ロースカツ,151,264,12.7,13.8,22.2,640,315,27,152,0.7,17,0.58,0.08,3.5,10,0,9.4,24,1.8,1.6
モスの菜摘チキン,139,236,10.3,15,15.2,432,304,21,74,0.5,13,0.12,0.07,3,8,0,10.3,27,1.4,1.1
モスの菜摘ソイモス野菜,186.8,186,6.8,11.5,14.5,465,264,44,66,0.9,36,0.1,0.07,0.6,12,0,1.9,7,3,1.2
ソイモスバーガー,207.8,345,13,13.1,43.9,870,183,45,97,1,20,0.09,0.07,1.1,10,0,1.9,5,3.7,2.2
ソイモスチーズバーガー,222.8,398,16,17.5,44.3,1059,193,129,238,1,64,0.1,0.12,1.8,10,0,2.1,17,3.7,2.7
ソイスパイシーモスバーガー,215.8,346,13,13.1,44.1,938,214,46,100,1.1,46,0.1,0.08,1.3,15,0,2.3,5,3.8,2.4
ソイスパイシーモスチーズバーガー,230.8,399,16,17.5,44.5,1127,224,130,241,1.1,90,0.11,0.13,2,15,0,2.5,17,3.8,2.9
ソイテリヤキバーガー,166.8,356,12.1,14.3,44.7,1005,108,42,85,0.9,9,0.08,0.08,0.9,3,0,1.9,8,2.9,2.5
ソイモス野菜バーガー,188.8,330,11.8,13.8,39.9,665,208,45,95,1.1,26,0.1,0.09,1.2,9,0,2.3,7,3.5,1.7
ソイハンバーガー,125.3,287,11.4,9.4,39.2,651,112,39,81,0.9,4,0.07,0.07,1,2,0,1.5,0,2.9,1.7
ソイチーズバーガー,140.3,340,14.4,13.8,39.6,840,122,123,222,0.9,48,0.08,0.12,1.7,2,0,1.7,12,2.9,2.2
モスライスバーガー海鮮かきあげ （塩だれ）,183,388,8.6,11.8,62,663,95,44,51,0.6,56,0.09,0.04,0.3,0,0,8.1,41,2,1.7
モスライスバーガー焼肉,172.9,362,11.1,10.4,56,570,132,14,46,0.6,26,0.03,0.04,1.1,2,0.1,0.4,17,1.3,1.4
ホットドッグ,126,355,11.5,23.4,24.7,830,226,21,184,0.6,11,0.35,0.12,2.4,26,0,0.5,41,1.3,2.1
チリドッグ,135,370,12.8,24.2,25.7,956,234,21,187,0.8,22,0.35,0.13,2.5,26,0,0.5,42,1.5,2.5
スパイシーチリドッグ,139,370,12.8,24.2,25.6,1007,254,22,188,0.9,41,0.35,0.14,2.6,30,0,0.8,42,1.5,2.6
スマートパイ〈国産りんごフィリング〉,70.3,257,2.7,16.1,25.4,169,49,11,20,0.2,3,0.03,0.01,0.2,10,0,4,3,1.1,0.4
フレンチフライポテトＳ,90.5,224,3,8.9,32.9,241,370,14,108,0.5,0,0.11,0.01,1.7,3,0,7.7,0,2.2,0.6
フレンチフライポテトＬ,150.9,374,5,14.9,54.9,428,616,23,180,0.9,0,0.18,0.02,2.9,5,0,12.8,0,3.6,1.1
オニオンフライ,80.4,266,4.3,14.8,28.9,524,75,112,53,0.4,0,0.03,0.4,0.5,2,0,7.9,0,1.5,1.4
オニポテ（ポテト＆オニオン）,77.4,205,2.9,9,28.1,265,262,33,83,0.5,0,0.08,0.1,1.2,2,0,6.8,0,1.7,0.7
こだわりサラダ　ローストアマニトッピング　和風ドレッシング〈減塩タイプ〉,103.6,50,1.6,1.9,7.5,212,332,26,40,0.6,25,0.04,0.03,0.5,26,0,0.8,0,1.8,0.5
　こだわりサラダ　ローストアマニトッピング,90,28,1.3,0.9,4.5,4,195,25,36,0.5,25,0.04,0.03,0.4,26,0,0.6,0,1.8,0
　和風ドレッシング<減塩タイプ>,13.6,22,0.3,1,3,207,137,1,4,0.1,0,0,0,0.1,0,0,0.2,0,0,0.5
